"Var_level","unadjusted OR(CI)","adjusted OR(CI)"
"1","victim_3group_actv1_1or2_times","3.37(2.53-4.49)***","5.54(3.56-8.62)***"
"2","victim_3group_actv2_repeated_being_bullied","10.85(7.53-15.62)***","42.88(18.21-100.98)***"
"3","q3_a男","1.44(1.1-1.87)**","1.12(0.72-1.74)"
"4","school_PRPR<70","1.3(1-1.69)*","0.83(0.53-1.3)"
"5","q8_a否","1.06(0.81-1.37)",NA
"6","q7_a是","1.01(0.77-1.31)",NA
"7","q6_a沒有","1.23(0.94-1.61)",NA
"8","q5_a沒有","1.39(1.06-1.82)*","2(1.06-3.76)*"
"9","q68_a是","1.43(1.1-1.86)**","2.54(0.93-6.88)+"
"10","PHQ9_1yr_new6-10","1.45(1.09-1.92)**","1.19(0.75-1.91)"
"11","PHQ9_1yr_new11-14","1.31(0.95-1.79)","1.25(0.55-2.83)"
"12","PHQ9_1yr_new15以上","1.09(0.79-1.49)","0.56(0.2-1.59)"
"13","AUDIT_C_4_a>=4","1.85(1.42-2.41)***","3.05(1.29-7.19)*"
"14","q22_0_a","0.65(0.48-0.89)**","0.97(0.92-1.03)"
"15","firstrses_standardized","0.98(0.72-1.34)",NA
"16","bis1_standardized","2.44(1.78-3.35)***","1.54(1.22-1.94)***"
