"var","global_coef","global_sd","BIF","selected_model_coef","selected_model_coef_sd","boot_coef_median","PR2.5","PR97.5","BIF","selected_model_coef","selected_model_coef_sd","boot_coef_median","PR2.5","PR97.5","BIF","selected_model_coef","boot_coef_median","PR2.5","PR97.5"
"1","Intercept",-1.801,0.683,1,-1.975,0.666,-1.969,-3.195,-0.674,1,-2.026,0.163,-2.223,-3.084,-0.231,NA,NA,NA,NA,NA
"2","victim_3group=v1_1or2_times",1.867,0.214,1,1.869,0.212,1.917,1.495,2.337,1,1.836,0.212,1.887,1.475,2.286,1,1.184,1.272,0.849,1.661
"3","victim_3group=v2_repeated_being_bullied",2.075,0.349,1,1.975,0.342,2.05,1.372,2.776,1,2.11,0.336,2.143,1.462,2.835,0.9985,1.207,1.291,0.625,1.898
"4","bis1_standardized",0.494,0.111,1,0.441,0.108,0.451,0.243,0.678,0.984,0.502,0.104,0.502,0.279,0.729,0.9965,0.246,0.262,0.079,0.456
"6","AUDIT_C_4_a=>=4",1.034,0.436,0.9665,0.946,0.426,0.95,0,1.906,0.4875,NA,NA,0,0,1.913,0.773,0.295,0.356,0,1.105
"13","q22_0_a",-0.042,0.029,0.9525,-0.029,0.028,-0.031,-0.086,0.018,0.1805,NA,NA,0,-0.095,0,0.4335,NA,0,-0.043,0
"10","PHQ9_1yr_new=6-10",0.412,0.238,0.9335,0.245,0.226,0.25,-0.171,0.725,0.246,NA,NA,0,0,0.836,0.235,NA,0,0,0.274
"11","PHQ9_1yr_new=11-14",0.547,0.396,0.9335,0.33,0.383,0.342,-0.465,1.151,0.246,NA,NA,0,0,1.336,0.145,NA,0,0,0.372
"12","PHQ9_1yr_new=15以上",0.304,0.481,0.9335,-0.075,0.447,-0.007,-1.15,0.902,0.246,NA,NA,0,-0.494,1.351,0.062,NA,0,0,0.14
"9","school_PR=PR<70",0.372,0.211,0.8935,0.332,0.207,0.316,0,0.74,0.3165,NA,NA,0,0,0.787,0.4725,NA,0,0,0.375
"5","q5_a=沒有",0.81,0.32,0.8135,0.836,0.303,0.799,0,1.441,0.6165,0.877,0.305,0.841,0,1.512,0.726,0.157,0.245,0,0.822
"7","q3_a=男",0.404,0.213,0.703,0.445,0.209,0.448,0,0.932,0.3685,NA,NA,0,0,0.861,0.5155,NA,0.007,0,0.404
"16","q68_a=是",0.261,0.488,0.697,0.31,0.485,0.29,-0.201,1.399,0.1175,NA,NA,0,0,1.581,0.365,NA,0,0,0.723
"15","q8_a=否",0.271,0.312,0.341,NA,NA,0,0,1,0.146,NA,NA,0,0,1.041,0.242,NA,0,0,0.412
"17","q6_a=沒有",0.019,0.227,0.2135,NA,NA,0,-0.471,0,0.035,NA,NA,0,0,0,0.0445,NA,0,-0.053,0
"8","firstrses_standardized",0.269,0.122,0.1295,NA,NA,0,0,0.237,0.3415,NA,NA,0,0,0.5,0.1195,NA,0,0,0.104
"14","q7_a=是",-0.428,0.312,0.0345,NA,NA,0,-0.83,0,0.1525,NA,NA,0,-1.073,0,0.1255,NA,0,-0.269,0
