"var","global_coef","global_sd","BIF","selected_model_coef","selected_model_coef_sd","boot_coef_median","PR2.5","PR97.5","BIF","selected_model_coef","selected_model_coef_sd","boot_coef_median","PR2.5","PR97.5","BIF","selected_model_coef","boot_coef_median","PR2.5","PR97.5"
"1","Intercept",-1.803,0.656,1,-1.998,0.639,-1.956,-3.095,-0.725,1,-1.992,0.155,-2.159,-2.917,-0.251,NA,NA,NA,NA,NA
"2","victim_3group=v1_1or2_times",1.803,0.207,1,1.801,0.205,1.839,1.454,2.257,1,1.784,0.205,1.818,1.454,2.23,1,1.296,1.215,0.846,1.607
"3","victim_3group=v2_repeated_being_bullied",2.044,0.345,1,1.938,0.338,2.024,1.323,2.788,1,2.083,0.332,2.114,1.423,2.812,0.9995,1.386,1.258,0.563,1.918
"4","bis1_standardized",0.528,0.107,1,0.476,0.104,0.486,0.29,0.7,0.994,0.527,0.1,0.536,0.333,0.755,0.9975,0.32,0.286,0.109,0.467
"6","AUDIT_C_4_a=>=4",0.883,0.407,0.963,0.791,0.399,0.758,0,1.642,0.397,NA,NA,0,0,1.677,0.687,0.349,0.227,0,0.951
"10","PHQ9_1yr_new=6-10",0.447,0.232,0.9525,0.276,0.22,0.267,-0.132,0.727,0.238,NA,NA,0,0,0.848,0.2745,NA,0,0,0.294
"11","PHQ9_1yr_new=11-14",0.532,0.389,0.9525,0.306,0.377,0.304,-0.489,1.08,0.238,NA,NA,0,0,1.248,0.121,NA,0,0,0.303
"12","PHQ9_1yr_new=15以上",0.264,0.46,0.9525,-0.146,0.425,-0.125,-1.048,0.773,0.238,NA,NA,0,-0.41,1.185,0.0425,NA,0,0,0.026
"13","q22_0_a",-0.038,0.028,0.9435,-0.025,0.027,-0.026,-0.079,0.017,0.1745,NA,NA,0,-0.091,0,0.3715,NA,0,-0.04,0
"9","school_PR=PR<70",0.359,0.205,0.8865,0.318,0.201,0.29,0,0.699,0.2675,NA,NA,0,0,0.734,0.4295,0.019,0,0,0.325
"5","q5_a=沒有",0.732,0.306,0.7715,0.748,0.29,0.726,0,1.336,0.571,0.801,0.293,0.767,0,1.421,0.6725,0.256,0.165,0,0.783
"8","q3_a=男",0.385,0.206,0.6705,0.434,0.203,0.41,0,0.853,0.3125,NA,NA,0,0,0.809,0.4565,0.041,0,0,0.35
"16","q68_a=是",0.077,0.459,0.6305,0.158,0.456,0.082,-0.258,1.166,0.0765,NA,NA,0,0,1.347,0.266,NA,0,0,0.611
"15","q8_a=否",0.208,0.29,0.278,NA,NA,0,0,0.858,0.122,NA,NA,0,0,0.929,0.183,NA,0,0,0.345
"17","q6_a=沒有",0.014,0.222,0.244,NA,NA,0,-0.466,0,0.034,NA,NA,0,0,0,0.047,NA,0,-0.039,0
"7","firstrses_standardized",0.285,0.118,0.1135,NA,NA,0,0,0.221,0.387,NA,NA,0,0,0.482,0.1305,NA,0,0,0.1
"14","q7_a=是",-0.401,0.3,0.042,NA,NA,0,-0.995,0,0.1245,NA,NA,0,-1.018,0,0.1145,NA,0,-0.21,0
