"var","global_coef","global_sd","BIF","selected_model_coef","selected_model_coef_sd","boot_coef_median","PR2.5","PR97.5","BIF","selected_model_coef","boot_coef_median","PR2.5","PR97.5"
"1","Intercept",-3.814,1.219,1,-4.436,0.422,-4.428,-5.966,-2.472,NA,NA,NA,NA,NA
"4","victim_3group=v1_1or2_times",1.237,0.416,0.9985,1.266,0.402,1.273,0.394,2.221,0.031,NA,0,0,0
"17","victim_3group=v2_repeated_being_bullied",2.268,0.512,0.9985,1.994,0.474,2.006,1.024,3.074,0.391,0,0,0,1.063
"2","bis1_standardized",0.632,0.2,0.922,0.547,0.186,0.522,0,0.988,0.115,NA,0,0,0.073
"5","q3_a=男",0.89,0.414,0.823,0.915,0.382,1.006,0,1.841,0.03,NA,0,0,0
"3","AUDIT_C_4_a=>=4",1.143,0.564,0.751,0.876,0.502,0.783,0,1.747,0.1135,NA,0,0,0.6
"10","q22_0_a",-0.044,0.05,0.4725,NA,NA,0,-0.092,0.013,0.003,NA,0,0,0
"8","school_PR=PR<70",0.668,0.375,0.4075,NA,NA,0,0,1.188,0.0075,NA,0,0,0
"6","q5_a=沒有",0.995,0.491,0.3365,NA,NA,0,0,1.633,0.0175,NA,0,0,0
"7","q68_a=是",-0.386,0.712,0.305,NA,NA,0,-0.178,0.899,0.012,NA,0,0,0
"16","PHQ9_1yr_new=6-10",-0.34,0.44,0.1525,NA,NA,0,-0.82,0.288,0,NA,0,0,0
"12","PHQ9_1yr_new=11-14",-0.268,0.745,0.1525,NA,NA,0,-1.173,0.645,0.001,NA,0,0,0
"9","PHQ9_1yr_new=15以上",-0.051,0.785,0.1525,NA,NA,0,-0.44,0.812,0.005,NA,0,0,0
"15","firstrses_standardized",0.302,0.215,0.058,NA,NA,0,-0.004,0.071,5e-04,NA,0,0,0
"14","q6_a=沒有",0.329,0.388,0.0375,NA,NA,0,0,0.894,5e-04,NA,0,0,0
"11","q7_a=是",-0.932,0.67,0.036,NA,NA,0,-2.852,0,0.001,NA,0,0,0
"13","q8_a=否",-1.118,0.635,0.0305,NA,NA,0,-1.909,0,5e-04,NA,0,0,0
