"var","global_coef","global_sd","BIF","selected_model_coef","selected_model_coef_sd","boot_coef_median","PR2.5","PR97.5","BIF","selected_model_coef","selected_model_coef_sd","boot_coef_median","PR2.5","PR97.5","relative_bias","RMSD","BIF","selected_model_coef","boot_coef_median","PR2.5","PR97.5"
"1","Intercept",-1.972,0.736,1,-2.126,0.721,-2.283,-3.322,-0.874,1,-2.23,0.163,-2.369,-2.982,-0.604,17,0.812,NA,NA,NA,NA,NA
"2","victim_3group_act=v1_1or2_times",1.462,0.242,1,1.473,0.24,1.525,1.007,2.036,1,1.405,0.238,1.503,0.99,2.007,2.5,1.068,1,0.554,0.83,0.384,1.299
"3","victim_3group_act=v2_repeated_being_bullied",3.844,0.481,1,3.833,0.474,3.968,3.134,5.191,1,3.67,0.468,3.836,3.043,5.035,0.9,1.115,1,1.986,2.439,1.832,3.159
"5","victim_3group_rel=v1_1or2_times",0.87,0.262,1,0.855,0.258,0.846,0.303,1.407,0.8095,0.857,0.255,0.846,0,1.402,7,1.672,0.98,0.373,0.524,0.04,0.995
"6","victim_3group_rel=v2_repeated_being_bullied",-0.807,0.575,1,-0.78,0.572,-0.862,-2.54,0.603,0.8095,-0.706,0.562,-0.586,-2.306,0.565,0.7,1.328,0.077,NA,0,-0.274,0
"4","bis1_standardized",0.567,0.123,0.9995,0.516,0.121,0.519,0.283,0.792,0.969,0.55,0.116,0.552,0,0.821,-1,1.294,0.9655,0.087,0.189,0,0.41
"7","AUDIT_C_4_a=>=4",1.183,0.433,0.9765,1.096,0.428,1.09,0,2.02,0.5295,NA,NA,1.02,0,2.024,22.7,2,0.7515,NA,0.332,0,1.138
"11","PHQ9_1yr_new=6-10",0.348,0.258,0.8085,0.201,0.244,0.183,-0.212,0.706,0.1515,NA,NA,0,0,0.809,50,1.358,0.131,NA,0,0,0.213
"12","PHQ9_1yr_new=11-14",0.454,0.442,0.8085,0.213,0.427,0.176,-0.69,1.149,0.1515,NA,NA,0,-0.041,1.245,42.4,1.116,0.0595,NA,0,0,0.214
"13","PHQ9_1yr_new=15以上",-0.264,0.532,0.8085,-0.674,0.501,-0.481,-1.825,0.359,0.1515,NA,NA,0,-1.345,0.23,112.1,0.768,0.0495,NA,0,-0.171,0
"14","q3_a=男",0.215,0.23,0.764,0.234,0.228,0.265,0,0.751,0.0825,NA,NA,0,0,0.71,204.4,1.067,0.157,NA,0,0,0.2
"15","q22_0_a",-0.032,0.031,0.762,-0.022,0.031,-0.017,-0.081,0.021,0.064,NA,NA,0,-0.084,0,162.7,1.085,0.0895,NA,0,-0.019,0
"10","q68_a=是",0.554,0.507,0.711,0.679,0.5,0.577,-0.023,1.698,0.1705,NA,NA,0,0,1.731,162.8,1.257,0.2925,NA,0,0,0.747
"9","q5_a=沒有",0.602,0.347,0.6995,0.645,0.324,0.609,0,1.293,0.2745,NA,NA,0,0,1.32,70.8,1.641,0.3825,NA,0,0,0.59
"19","school_PR=PR<70",-0.043,0.236,0.5065,-0.107,0.232,0,-0.295,0.342,0.021,NA,NA,0,0,0,464.4,0.433,0.0205,NA,0,0,0
"16","q6_a=沒有",-0.152,0.251,0.363,NA,NA,0,-0.686,0,0.0355,NA,NA,0,-0.643,0,360.7,0.737,0.047,NA,0,-0.068,0
"17","q8_a=否",0.08,0.325,0.076,NA,NA,0,0,0.668,0.031,NA,NA,0,0,0.655,723.6,0.5,0.036,NA,0,0,0.04
"8","firstrses_standardized",0.285,0.131,0.07,NA,NA,0,0,0.344,0.305,NA,NA,0,0,0.538,37.8,1.909,0.106,NA,0,0,0.099
"18","q7_a=是",-0.212,0.329,0.03,NA,NA,0,0,0,0.0255,NA,NA,0,0,0,310.4,0.771,0.031,NA,0,-0.023,0
