"fmla","n","freq","cumulative_freq","AUC","Emax"
"1","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ bis1_standardized",134,0.134,0.134,0.817,0.017
"2","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ AUDIT_C_4_a+ bis1_standardized",107,0.107,0.241,0.825,0.036
"3","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ AUDIT_C_4_a+ firstrses_standardized+ bis1_standardized",61,0.061,0.302,0.825,0.032
"4","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q5_a+ bis1_standardized",48,0.048,0.35,0.824,0.021
"5","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ firstrses_standardized+ bis1_standardized",39,0.039,0.389,0.817,0.03
"6","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q68_a+ bis1_standardized",33,0.033,0.422,0.822,0.024
"7","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q5_a+ AUDIT_C_4_a+ bis1_standardized",31,0.031,0.453,0.829,0.03
"8","firstyr_bully2_act ~ victim_3group_act+ AUDIT_C_4_a+ bis1_standardized",29,0.029,0.482,0.814,0.032
"9","firstyr_bully2_act ~ victim_3group_act+ bis1_standardized",26,0.026,0.508,0.804,0.076
"10","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q5_a+ AUDIT_C_4_a+ firstrses_standardized+ bis1_standardized",18,0.018,0.526,0.83,0.032
"11","firstyr_bully2_act ~ victim_3group_act+ q5_a+ AUDIT_C_4_a+ bis1_standardized",16,0.016,0.542,0.82,0.049
"12","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ PHQ9_1yr_new+ AUDIT_C_4_a+ bis1_standardized",16,0.016,0.558,0.828,0.038
"13","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q68_a+ AUDIT_C_4_a+ bis1_standardized",16,0.016,0.574,0.827,0.026
"14","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q3_a+ AUDIT_C_4_a+ bis1_standardized",15,0.015,0.589,0.826,0.037
"15","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ PHQ9_1yr_new+ AUDIT_C_4_a+ firstrses_standardized+ bis1_standardized",14,0.014,0.603,0.83,0.024
"16","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q5_a+ q68_a+ bis1_standardized",14,0.014,0.617,0.827,0.025
"17","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q3_a+ bis1_standardized",13,0.013,0.63,0.82,0.02
"18","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q5_a+ firstrses_standardized+ bis1_standardized",13,0.013,0.643,0.824,0.025
"19","firstyr_bully2_act ~ victim_3group_act+ q5_a+ AUDIT_C_4_a+ firstrses_standardized+ bis1_standardized",12,0.012,0.655,0.819,0.087
"20","firstyr_bully2_act ~ victim_3group_act+ AUDIT_C_4_a+ firstrses_standardized+ bis1_standardized",10,0.01,0.665,0.812,0.077
"21","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q5_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ firstrses_standardized+ bis1_standardized",10,0.01,0.675,0.834,0.026
"22","firstyr_bully2_act ~ victim_3group_act+ q5_a+ bis1_standardized",9,0.009,0.684,0.813,0.103
"23","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ PHQ9_1yr_new+ firstrses_standardized+ bis1_standardized",9,0.009,0.693,0.823,0.018
"24","firstyr_bully2_act ~ victim_3group_act+ q5_a+ firstrses_standardized+ bis1_standardized",8,0.008,0.701,0.811,0.132
"25","firstyr_bully2_act ~ victim_3group_act+ q68_a+ bis1_standardized",7,0.007,0.708,0.81,0.066
"26","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q5_a+ PHQ9_1yr_new+ bis1_standardized",7,0.007,0.715,0.827,0.043
"27","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q68_a+ firstrses_standardized+ bis1_standardized",7,0.007,0.722,0.823,0.029
"28","firstyr_bully2_act ~ victim_3group_act+ PHQ9_1yr_new+ AUDIT_C_4_a+ bis1_standardized",6,0.006,0.728,0.814,0.056
"29","firstyr_bully2_act ~ victim_3group_act+ q5_a+ q68_a+ bis1_standardized",6,0.006,0.734,0.817,0.067
"30","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ PHQ9_1yr_new+ bis1_standardized",6,0.006,0.74,0.82,0.017
"31","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q5_a+ AUDIT_C_4_a+ q22_0_a+ firstrses_standardized+ bis1_standardized",6,0.006,0.746,0.832,0.038
"32","firstyr_bully2_act ~ victim_3group_act+ AUDIT_C_4_a",5,0.005,0.751,0.774,0.142
"33","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ AUDIT_C_4_a+ q22_0_a+ firstrses_standardized+ bis1_standardized",5,0.005,0.756,0.827,0.029
"34","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ PHQ9_1yr_new+ AUDIT_C_4_a+ q22_0_a+ firstrses_standardized+ bis1_standardized",5,0.005,0.761,0.832,0.028
"35","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q3_a+ q5_a+ AUDIT_C_4_a+ bis1_standardized",5,0.005,0.766,0.831,0.035
"36","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ AUDIT_C_4_a",4,0.004,0.77,0.791,0.244
"37","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q22_0_a+ bis1_standardized",4,0.004,0.774,0.819,0.02
"38","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q3_a+ q68_a+ bis1_standardized",4,0.004,0.778,0.823,0.032
"39","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q5_a+ AUDIT_C_4_a",4,0.004,0.782,0.801,0.069
"40","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q5_a+ AUDIT_C_4_a+ q22_0_a+ bis1_standardized",4,0.004,0.786,0.83,0.035
"41","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q5_a+ PHQ9_1yr_new+ firstrses_standardized+ bis1_standardized",4,0.004,0.79,0.829,0.04
"42","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q6_a+ bis1_standardized",4,0.004,0.794,0.818,0.015
"43","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel",3,0.003,0.797,0.775,0.48
"44","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ PHQ9_1yr_new+ q22_0_a+ firstrses_standardized+ bis1_standardized",3,0.003,0.8,0.825,0.019
"45","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q3_a+ q5_a+ AUDIT_C_4_a",3,0.003,0.803,0.801,0.04
"46","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q3_a+ q5_a+ bis1_standardized",3,0.003,0.806,0.826,0.028
"47","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q5_a",3,0.003,0.809,0.788,0.157
"48","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q5_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ q22_0_a+ firstrses_standardized+ bis1_standardized",3,0.003,0.812,0.836,0.034
"49","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q5_a+ q22_0_a+ firstrses_standardized+ bis1_standardized",3,0.003,0.815,0.826,0.021
"50","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q5_a+ q68_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ q22_0_a+ firstrses_standardized+ bis1_standardized",3,0.003,0.818,0.838,0.03
"51","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q6_a+ AUDIT_C_4_a+ bis1_standardized",3,0.003,0.821,0.826,0.036
"52","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q68_a+ AUDIT_C_4_a+ firstrses_standardized+ bis1_standardized",3,0.003,0.824,0.827,0.019
"53","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q8_a+ AUDIT_C_4_a+ firstrses_standardized+ bis1_standardized",3,0.003,0.827,0.826,0.035
"54","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q8_a+ bis1_standardized",3,0.003,0.83,0.817,0.019
"55","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q8_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ bis1_standardized",3,0.003,0.833,0.828,0.043
"56","firstyr_bully2_act ~ victim_3group_act+ firstrses_standardized+ bis1_standardized",2,0.002,0.835,0.803,0.11
"57","firstyr_bully2_act ~ victim_3group_act+ PHQ9_1yr_new+ AUDIT_C_4_a+ firstrses_standardized+ bis1_standardized",2,0.002,0.837,0.817,0.083
"58","firstyr_bully2_act ~ victim_3group_act+ q5_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ firstrses_standardized+ bis1_standardized",2,0.002,0.839,0.823,0.083
"59","firstyr_bully2_act ~ victim_3group_act+ q5_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ q22_0_a+ bis1_standardized",2,0.002,0.841,0.822,0.052
"60","firstyr_bully2_act ~ victim_3group_act+ q8_a+ AUDIT_C_4_a+ bis1_standardized",2,0.002,0.843,0.814,0.035
"61","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ AUDIT_C_4_a+ q22_0_a+ bis1_standardized",2,0.002,0.845,0.826,0.035
"62","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q3_a+ AUDIT_C_4_a+ firstrses_standardized+ bis1_standardized",2,0.002,0.847,0.827,0.028
"63","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q3_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ bis1_standardized",2,0.002,0.849,0.83,0.038
"64","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q3_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ firstrses_standardized+ bis1_standardized",2,0.002,0.851,0.831,0.021
"65","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q3_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ q22_0_a+ firstrses_standardized+ bis1_standardized",2,0.002,0.853,0.834,0.035
"66","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q3_a+ PHQ9_1yr_new+ firstrses_standardized+ bis1_standardized",2,0.002,0.855,0.825,0.023
"67","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q3_a+ q5_a+ firstrses_standardized+ bis1_standardized",2,0.002,0.857,0.826,0.032
"68","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q3_a+ q5_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ bis1_standardized",2,0.002,0.859,0.835,0.036
"69","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q3_a+ q5_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ firstrses_standardized+ bis1_standardized",2,0.002,0.861,0.836,0.026
"70","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q3_a+ q5_a+ PHQ9_1yr_new+ firstrses_standardized+ bis1_standardized",2,0.002,0.863,0.83,0.045
"71","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q3_a+ q6_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ bis1_standardized",2,0.002,0.865,0.831,0.041
"72","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q5_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ bis1_standardized",2,0.002,0.867,0.832,0.034
"73","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q5_a+ q22_0_a+ bis1_standardized",2,0.002,0.869,0.824,0.019
"74","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q5_a+ q68_a+ AUDIT_C_4_a+ bis1_standardized",2,0.002,0.871,0.831,0.027
"75","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q5_a+ q68_a+ q22_0_a+ bis1_standardized",2,0.002,0.873,0.828,0.025
"76","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q6_a+ firstrses_standardized+ bis1_standardized",2,0.002,0.875,0.819,0.021
"77","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q6_a+ q68_a+ bis1_standardized",2,0.002,0.877,0.823,0.019
"78","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q68_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ firstrses_standardized+ bis1_standardized",2,0.002,0.879,0.833,0.027
"79","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q68_a+ PHQ9_1yr_new+ firstrses_standardized+ bis1_standardized",2,0.002,0.881,0.828,0.024
"80","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q68_a+ PHQ9_1yr_new+ q22_0_a+ firstrses_standardized+ bis1_standardized",2,0.002,0.883,0.83,0.034
"81","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q7_a+ bis1_standardized",2,0.002,0.885,0.817,0.017
"82","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q7_a+ q68_a+ bis1_standardized",2,0.002,0.887,0.822,0.016
"83","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q8_a+ AUDIT_C_4_a+ bis1_standardized",2,0.002,0.889,0.825,0.039
"84","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q8_a+ AUDIT_C_4_a+ q22_0_a+ firstrses_standardized+ bis1_standardized",2,0.002,0.891,0.827,0.03
"85","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ school_PR+ q68_a+ bis1_standardized",2,0.002,0.893,0.822,0.029
"86","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ school_PR+ q8_a+ q68_a+ bis1_standardized",2,0.002,0.895,0.822,0.023
"87","firstyr_bully2_act ~ victim_3group_act+ AUDIT_C_4_a+ q22_0_a+ bis1_standardized",1,0.001,0.896,0.814,0.028
"88","firstyr_bully2_act ~ victim_3group_act+ PHQ9_1yr_new+ AUDIT_C_4_a",1,0.001,0.897,0.794,0.133
"89","firstyr_bully2_act ~ victim_3group_act+ PHQ9_1yr_new+ firstrses_standardized+ bis1_standardized",1,0.001,0.898,0.809,0.105
"90","firstyr_bully2_act ~ victim_3group_act+ q3_a+ AUDIT_C_4_a+ bis1_standardized",1,0.001,0.899,0.816,0.033
"91","firstyr_bully2_act ~ victim_3group_act+ q3_a+ bis1_standardized",1,0.001,0.9,0.807,0.07
"92","firstyr_bully2_act ~ victim_3group_act+ q3_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ bis1_standardized",1,0.001,0.901,0.818,0.052
"93","firstyr_bully2_act ~ victim_3group_act+ q3_a+ q5_a+ q68_a+ PHQ9_1yr_new+ firstrses_standardized+ bis1_standardized",1,0.001,0.902,0.821,0.101
"94","firstyr_bully2_act ~ victim_3group_act+ q3_a+ q8_a+ bis1_standardized",1,0.001,0.903,0.808,0.068
"95","firstyr_bully2_act ~ victim_3group_act+ q5_a+ AUDIT_C_4_a",1,0.001,0.904,0.788,0.049
"96","firstyr_bully2_act ~ victim_3group_act+ q5_a+ AUDIT_C_4_a+ q22_0_a+ firstrses_standardized+ bis1_standardized",1,0.001,0.905,0.82,0.065
"97","firstyr_bully2_act ~ victim_3group_act+ q5_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ bis1_standardized",1,0.001,0.906,0.822,0.067
"98","firstyr_bully2_act ~ victim_3group_act+ q5_a+ PHQ9_1yr_new+ firstrses_standardized+ bis1_standardized",1,0.001,0.907,0.816,0.116
"99","firstyr_bully2_act ~ victim_3group_act+ q5_a+ q68_a+ AUDIT_C_4_a",1,0.001,0.908,0.794,0.035
"100","firstyr_bully2_act ~ victim_3group_act+ q5_a+ q68_a+ AUDIT_C_4_a+ bis1_standardized",1,0.001,0.909,0.822,0.046
"101","firstyr_bully2_act ~ victim_3group_act+ q6_a+ PHQ9_1yr_new+ firstrses_standardized+ bis1_standardized",1,0.001,0.91,0.811,0.093
"102","firstyr_bully2_act ~ victim_3group_act+ q6_a+ q5_a+ bis1_standardized",1,0.001,0.911,0.814,0.091
"103","firstyr_bully2_act ~ victim_3group_act+ q68_a+ AUDIT_C_4_a+ firstrses_standardized+ bis1_standardized",1,0.001,0.912,0.815,0.081
"104","firstyr_bully2_act ~ victim_3group_act+ q68_a+ firstrses_standardized+ bis1_standardized",1,0.001,0.913,0.808,0.098
"105","firstyr_bully2_act ~ victim_3group_act+ q68_a+ PHQ9_1yr_new+ bis1_standardized",1,0.001,0.914,0.812,0.073
"106","firstyr_bully2_act ~ victim_3group_act+ q68_a+ PHQ9_1yr_new+ firstrses_standardized+ bis1_standardized",1,0.001,0.915,0.814,0.098
"107","firstyr_bully2_act ~ victim_3group_act+ q7_a+ AUDIT_C_4_a+ firstrses_standardized+ bis1_standardized",1,0.001,0.916,0.813,0.082
"108","firstyr_bully2_act ~ victim_3group_act+ q7_a+ PHQ9_1yr_new+ firstrses_standardized+ bis1_standardized",1,0.001,0.917,0.808,0.113
"109","firstyr_bully2_act ~ victim_3group_act+ q7_a+ q5_a+ AUDIT_C_4_a+ firstrses_standardized+ bis1_standardized",1,0.001,0.918,0.82,0.092
"110","firstyr_bully2_act ~ victim_3group_act+ q7_a+ q5_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ bis1_standardized",1,0.001,0.919,0.822,0.072
"111","firstyr_bully2_act ~ victim_3group_act+ q7_a+ q5_a+ q68_a+ AUDIT_C_4_a",1,0.001,0.92,0.798,0.04
"112","firstyr_bully2_act ~ victim_3group_act+ q8_a+ q5_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ firstrses_standardized+ bis1_standardized",1,0.001,0.921,0.823,0.083
"113","firstyr_bully2_act ~ victim_3group_act+ school_PR+ AUDIT_C_4_a+ bis1_standardized",1,0.001,0.922,0.814,0.034
"114","firstyr_bully2_act ~ victim_3group_act+ school_PR+ q5_a+ q68_a+ AUDIT_C_4_a+ bis1_standardized",1,0.001,0.923,0.822,0.056
"115","firstyr_bully2_act ~ victim_3group_act+ school_PR+ q6_a+ q68_a+ bis1_standardized",1,0.001,0.924,0.81,0.068
"116","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ AUDIT_C_4_a+ q22_0_a+ firstrses_standardized",1,0.001,0.925,0.796,0.062
"117","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ PHQ9_1yr_new+ AUDIT_C_4_a+ firstrses_standardized",1,0.001,0.926,0.809,0.057
"118","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ PHQ9_1yr_new+ AUDIT_C_4_a+ q22_0_a+ bis1_standardized",1,0.001,0.927,0.828,0.041
