fmla,n,freq,cumulative_freq,AUC,Emax,
1,firstyrbully2 ~ victim_3group+ q5_a+ bis1_standardized,160,0.08,0.08,0.789,0.055
2,firstyrbully2 ~ victim_3group+ bis1_standardized,96,0.048,0.128,0.778,0.114
3,firstyrbully2 ~ victim_3group+ q5_a+ AUDIT_C_4_a+ bis1_standardized,73,0.0365,0.164,0.793,0.08
4,firstyrbully2 ~ victim_3group+ AUDIT_C_4_a+ bis1_standardized,52,0.026,0.19,0.783,0.044
5,firstyrbully2 ~ victim_3group+ q3_a+ q5_a+ bis1_standardized,50,0.025,0.216,0.793,0.067
6,firstyrbully2 ~ victim_3group+ q3_a+ bis1_standardized,49,0.0245,0.24,0.784,0.039
7,firstyrbully2 ~ victim_3group+ q5_a+ AUDIT_C_4_a+ firstrses_standardized+ bis1_standardized,49,0.0245,0.264,0.794,0.075
8,firstyrbully2 ~ victim_3group+ q5_a+ firstrses_standardized+ bis1_standardized,39,0.0195,0.284,0.79,0.043
9,firstyrbully2 ~ victim_3group+ AUDIT_C_4_a+ firstrses_standardized+ bis1_standardized,35,0.0175,0.302,0.784,0.037
10,firstyrbully2 ~ victim_3group+ q3_a+ AUDIT_C_4_a+ bis1_standardized,33,0.0165,0.318,0.788,0.115
11,firstyrbully2 ~ victim_3group+ school_PR+ q5_a+ bis1_standardized,27,0.0135,0.332,0.792,0.069
12,firstyrbully2 ~ victim_3group+ q3_a+ school_PR+ bis1_standardized,26,0.013,0.344,0.786,0.039
13,firstyrbully2 ~ victim_3group+ q5_a+ q68_a+ bis1_standardized,26,0.013,0.358,0.792,0.114
14,firstyrbully2 ~ victim_3group+ q3_a+ school_PR+ q5_a+ bis1_standardized,25,0.0125,0.37,0.795,0.071
15,firstyrbully2 ~ victim_3group+ q5_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ firstrses_standardized+ bis1_standardized,25,0.0125,0.382,0.796,0.02
16,firstyrbully2 ~ victim_3group+ q3_a+ q5_a+ AUDIT_C_4_a+ bis1_standardized,22,0.011,0.394,0.796,0.094
17,firstyrbully2 ~ victim_3group+ q5_a+ AUDIT_C_4_a+ q22_0_a+ firstrses_standardized+ bis1_standardized,21,0.0105,0.404,0.796,0.078
18,firstyrbully2 ~ victim_3group+ firstrses_standardized+ bis1_standardized,19,0.0095,0.414,0.779,0.084
19,firstyrbully2 ~ victim_3group+ q5_a+ PHQ9_1yr_new+ firstrses_standardized+ bis1_standardized,19,0.0095,0.423,0.793,0.055
20,firstyrbully2 ~ victim_3group+ q3_a+ q8_a+ bis1_standardized,18,0.009,0.432,0.786,0.034
21,firstyrbully2 ~ victim_3group+ q8_a+ bis1_standardized,18,0.009,0.441,0.78,0.089
22,firstyrbully2 ~ victim_3group+ q5_a+ q22_0_a+ firstrses_standardized+ bis1_standardized,17,0.0085,0.45,0.793,0.042
23,firstyrbully2 ~ victim_3group+ PHQ9_1yr_new+ AUDIT_C_4_a+ firstrses_standardized+ bis1_standardized,16,0.008,0.458,0.788,0.04
24,firstyrbully2 ~ victim_3group+ q68_a+ bis1_standardized,16,0.008,0.466,0.781,0.065
25,firstyrbully2 ~ victim_3group+ q7_a+ q5_a+ AUDIT_C_4_a+ bis1_standardized,16,0.008,0.474,0.794,0.083
