"bullies.Var_level","bullies.unadjusted.OR.CI.","bullies.adjusted.OR.CI.","victims.unadjusted.OR.CI.","victims.adjusted.OR.CI.","bully_victims.unadjusted.OR.CI.","bully_victims.adjusted.OR.CI.","pure_bullies.unadjusted.OR.CI.","pure_bullies.adjusted.OR.CI.","pure_victims.unadjusted.OR.CI.","pure_victims.adjusted.OR.CI.","repeated_bullies.unadjusted.OR.CI.","repeated_bullies.adjusted.OR.CI.","repeated_victims.unadjusted.OR.CI.","repeated_victims.adjusted.OR.CI."
"1","q3_a男","1.4(1.03-1.88)*","1.61(1.09-2.39)*","1.18(0.89-1.57)","1.34(0.96-1.87)+","1.5(1.09-2.06)*","1.95(1.26-3.03)**","1.04(0.74-1.47)","1.06(0.57-1.97)","1.08(0.79-1.48)","0.95(0.64-1.43)","1.49(1.1-2.01)**","2.85(1.39-5.87)**","1.78(1.34-2.36)***","4.56(2.31-9.03)***"
"2","school_PRPR<70","1.74(1.29-2.36)***","1.62(1.09-2.41)*","1.52(1.15-2.02)**","1.5(1.07-2.11)*","1.61(1.17-2.21)**","1.68(1.09-2.59)*","1.58(1.12-2.23)**","1.56(0.83-2.94)","1.31(0.95-1.79)",NA,"1.35(1-1.83)*","1.86(0.95-3.63)+","1.24(0.93-1.64)",NA
"3","q8_a否","1.23(0.91-1.65)",NA,"1(0.76-1.32)",NA,"1.07(0.78-1.47)",NA,"1.4(0.99-1.98)",NA,"1.07(0.78-1.47)",NA,"1.05(0.78-1.42)",NA,"1.03(0.78-1.36)",NA
"4","q7_a是","1(0.74-1.35)",NA,"1.12(0.84-1.48)",NA,"1(0.73-1.37)",NA,"1(0.71-1.41)",NA,"1.2(0.87-1.64)",NA,"1.07(0.79-1.44)",NA,"1.32(1-1.75)",NA
"5","q6_a沒有","1.26(0.93-1.69)",NA,"1.31(0.99-1.74)",NA,"1.35(0.98-1.85)",NA,"1(0.71-1.41)",NA,"1.19(0.86-1.62)",NA,"1(0.74-1.35)",NA,"1.12(0.85-1.48)",NA
"6","q5_a沒有","1.48(1.09-2)*","1.74(0.97-3.12)+","1.09(0.82-1.44)",NA,"1.31(0.95-1.8)",NA,"1.58(1.11-2.23)*","2.24(0.98-5.13)+","1.1(0.8-1.51)",NA,"1.21(0.9-1.63)",NA,"1(0.76-1.32)",NA
"7","q68_a是","1.54(1.14-2.09)**","1.45(0.53-3.94)","1.31(0.99-1.74)",NA,"1.36(0.99-1.86)",NA,"1.7(1.2-2.41)**","3.01(0.83-10.83)+","1.19(0.87-1.64)",NA,"1.29(0.95-1.74)",NA,"1.21(0.91-1.6)",NA
"8","PHQ9_1yr_new6-10","1.86(1.35-2.57)***","1.86(1.2-2.89)**","1.85(1.37-2.5)***","2.04(1.39-2.98)***","1.78(1.27-2.5)***","2.09(1.28-3.41)**","1.54(1.07-2.21)*","1.61(0.81-3.21)","1.69(1.21-2.36)**","2.05(1.3-3.23)**","1.01(0.73-1.38)",NA,"1.67(1.24-2.25)***","2.79(1.42-5.5)**"
"9","PHQ9_1yr_new11-14","1.53(1.07-2.19)*","1.93(0.94-3.98)+","1.43(1.02-2)*","1.81(0.94-3.49)+","1.57(1.08-2.29)*","2.35(1.07-5.16)*","1.15(0.77-1.71)","1.47(0.46-4.7)","1.16(0.8-1.68)","1.55(0.68-3.53)","1(0.7-1.43)",NA,"1.56(1.11-2.19)**","3.52(1.27-9.79)*"
"10","PHQ9_1yr_new15以上","1.46(1.01-2.1)*","1.01(0.4-2.55)","1.36(0.97-1.91)","1.32(0.58-3)","1.27(0.87-1.85)","0.92(0.33-2.61)","1.53(1.02-2.29)*","1.2(0.33-4.31)","1.32(0.91-1.92)","2.22(0.89-5.55)+","1.12(0.78-1.61)",NA,"1.34(0.95-1.89)","2.04(0.57-7.23)"
"11","AUDIT_C_4_a>=4","1.9(1.4-2.58)***","3.29(1.36-8)**","1.51(1.14-2.01)**","2.61(1.1-6.21)*","1.77(1.29-2.44)***","3.59(1.37-9.39)**","1.9(1.34-2.69)***","3.09(0.94-10.12)+","1.19(0.87-1.64)",NA,"1.69(1.25-2.29)***","3.22(1.23-8.46)*","1.14(0.86-1.51)",NA
"12","q22_0_a","0.54(0.39-0.74)***","0.94(0.89-0.99)*","0.59(0.45-0.79)***","0.95(0.91-0.99)*","0.46(0.32-0.65)***","0.91(0.86-0.97)**","0.83(0.5-1.39)",NA,"0.77(0.54-1.1)",NA,"0.56(0.31-1)",NA,"0.46(0.28-0.77)**","0.94(0.87-1.02)"
"13","firstrses_standardized","0.84(0.61-1.15)",NA,"0.82(0.62-1.09)",NA,"0.85(0.6-1.22)",NA,"0.8(0.48-1.33)",NA,"0.79(0.55-1.13)",NA,"0.87(0.49-1.56)",NA,"0.46(0.27-0.76)**","0.8(0.56-1.14)"
"14","bis1_standardized","2.5(1.81-3.45)***","1.41(1.16-1.72)***","1.58(1.19-2.11)**","1.15(0.96-1.36)","2.14(1.49-3.07)***","1.31(1.05-1.64)*","3.7(2.2-6.24)***","1.67(1.23-2.28)**","1.16(0.81-1.66)",NA,"2.95(1.64-5.3)***","1.61(1.16-2.25)**","2.31(1.39-3.86)**","1.32(0.95-1.83)+"
