"bullies.Var_level","bullies.unadjusted.OR.CI.","bullies.adjusted.OR.CI.","victims.unadjusted.OR.CI.","victims.adjusted.OR.CI.","bully_victims.unadjusted.OR.CI.","bully_victims.adjusted.OR.CI.","pure_bullies.unadjusted.OR.CI.","pure_bullies.adjusted.OR.CI.","pure_victims.unadjusted.OR.CI.","pure_victims.adjusted.OR.CI.","repeated_bullies.unadjusted.OR.CI.","repeated_bullies.adjusted.OR.CI."
"1","q3_a男","1.38(1.03-1.85)*","1.65(1.12-2.43)*","1.18(0.9-1.56)",NA,"1.47(1.08-2)*","1.96(1.28-3.04)**","1.06(0.76-1.49)",NA,"1.06(0.78-1.44)",NA,"1.5(1.12-2.01)**","2.88(1.43-6.21)**"
"2","school_PRPR<70","1.73(1.28-2.32)***","1.63(1.1-2.4)*","1.51(1.15-1.99)**","1.44(1.03-2)*","1.53(1.12-2.09)**","1.57(1.02-2.4)*","1.68(1.2-2.35)**","1.67(0.9-3.08)","1.35(0.99-1.84)",NA,"1.32(0.98-1.76)",NA
"3","q8_a否","1.16(0.87-1.56)",NA,"1.05(0.8-1.38)",NA,"1(0.73-1.36)",NA,"1.44(1.03-2.02)*","1.68(0.77-3.51)","1.1(0.81-1.5)",NA,"1.09(0.81-1.46)",NA
"4","q7_a是","1(0.75-1.34)",NA,"1.09(0.83-1.43)",NA,"1(0.74-1.36)",NA,"1.01(0.73-1.41)",NA,"1.14(0.84-1.55)",NA,"1.08(0.8-1.44)",NA
"5","q6_a沒有","1.23(0.92-1.65)",NA,"1.32(1-1.74)*","0.77(0.54-1.11)","1.36(1-1.85)",NA,"1(0.72-1.4)",NA,"1.18(0.87-1.6)",NA,"1(0.75-1.34)",NA
"6","q5_a沒有","1.42(1.06-1.9)*","1.71(0.96-3.04)+","1.07(0.81-1.41)",NA,"1.22(0.9-1.66)",NA,"1.54(1.1-2.15)*","1.6(0.65-3.71)","1.07(0.79-1.46)",NA,"1.2(0.89-1.6)",NA
"7","q68_a是","1.49(1.11-2)**","1.21(0.47-3.15)","1.28(0.97-1.68)",NA,"1.28(0.94-1.74)",NA,"1.69(1.21-2.37)**","2.3(0.67-7.33)","1.2(0.88-1.63)",NA,"1.25(0.93-1.67)",NA
"8","PHQ9_1yr_new6-10","1.88(1.37-2.58)***","1.92(1.25-2.95)**","1.86(1.39-2.5)***","1.97(1.36-2.86)***","1.81(1.3-2.52)***","2.16(1.33-3.49)**","1.54(1.08-2.2)*","1.73(0.88-3.36)","1.68(1.21-2.33)**","2.06(1.32-3.21)**","1.01(0.74-1.38)",NA
"9","PHQ9_1yr_new11-14","1.49(1.05-2.11)*","1.93(0.94-3.94)+","1.41(1.01-1.96)*","1.68(0.89-3.19)","1.56(1.08-2.25)*","2.43(1.1-5.25)*","1.1(0.75-1.62)","1.24(0.33-3.71)","1.14(0.8-1.64)","1.48(0.63-3.26)","1(0.71-1.41)",NA
"10","PHQ9_1yr_new15以上","1.44(1.01-2.05)*","0.95(0.38-2.28)","1.39(0.99-1.94)","1.24(0.57-2.73)","1.31(0.9-1.89)","0.9(0.31-2.37)","1.39(0.94-2.06)","0.86(0.21-2.97)","1.33(0.93-1.92)","2.17(0.88-5.08)+","1.1(0.77-1.56)",NA
"11","AUDIT_C_4_a>=4","1.94(1.44-2.6)***","3.62(1.57-8.96)**","1.58(1.2-2.09)**","2.97(1.33-7.12)*","1.8(1.32-2.46)***","3.91(1.55-10.38)**","1.93(1.37-2.7)***","2.96(0.9-9.28)+","1.31(0.96-1.78)",NA,"1.63(1.21-2.19)**","3.11(1.11-7.85)*"
"12","q22_0_a","0.56(0.41-0.77)***","0.94(0.9-0.99)*","0.61(0.46-0.81)***","0.95(0.91-0.99)*","0.47(0.33-0.68)***","0.92(0.87-0.97)**","0.83(0.51-1.36)",NA,"0.79(0.56-1.12)",NA,"0.56(0.31-1.01)",NA
"13","firstrses_standardized","0.84(0.62-1.15)",NA,"0.81(0.61-1.07)",NA,"0.84(0.59-1.2)",NA,"0.84(0.52-1.37)",NA,"0.78(0.55-1.11)",NA,"0.9(0.5-1.61)",NA
"14","bis1_standardized","2.55(1.86-3.49)***","1.45(1.2-1.77)***","1.57(1.18-2.07)**","1.13(0.95-1.35)","2.1(1.47-3)***","1.31(1.05-1.64)*","4.01(2.44-6.59)***","1.81(1.35-2.46)***","1.16(0.82-1.65)",NA,"2.8(1.56-5.02)***","1.66(1.2-2.33)**"
