"sum1[, 1]","Bullies.unadjusted OR(CI)","Bullies.adjusted OR(CI)","Bullies.VIF","Frequent_bullies.unadjusted OR(CI)","Frequent_bullies.adjusted OR(CI)","Frequent_bullies.VIF","Active_bullies.unadjusted OR(CI)","Active_bullies.adjusted OR(CI)","Active_bullies.VIF"
"1","victim_3groupv1_1or2_times","4.41(3.26-5.97)***","6.22(4.12-9.39)***",1.16,"1.57(1.18-2.08)**","3.39(1.58-7.3)**",1.35,"3.58(2.67-4.82)***","5.43(3.5-8.44)***",1.11
"2","victim_3groupv2_repeated_being_bullied","4.14(2.92-5.86)***","6.84(3.51-13.32)***",1.18,"2.62(1.88-3.67)***","6.62(2.66-16.49)***",1.35,"12.05(8.24-17.62)***","40.63(17.35-95.15)***",1.13
"3","q3_a男","1.4(1.07-1.84)*","1.55(1.03-2.32)*",1.13,"1.46(1.11-1.91)**","2.34(1.13-4.84)*",1.04,"1.45(1.11-1.9)**","1.19(0.77-1.84)",1.08
"4","school_PRPR<70","1.56(1.19-2.05)**","1.39(0.93-2.08)",1.11,"1.29(0.99-1.69)",NA,NA,"1.29(0.99-1.69)",NA,NA
"5","q8_a否","1.25(0.95-1.63)",NA,NA,"1.03(0.79-1.35)",NA,NA,"1.1(0.84-1.44)",NA,NA
"6","q7_a是","1.02(0.78-1.33)",NA,NA,"1.08(0.83-1.42)",NA,NA,"1(0.76-1.31)",NA,NA
"7","q6_a沒有","1.18(0.9-1.54)",NA,NA,"1(0.77-1.32)",NA,NA,"1.23(0.94-1.62)",NA,NA
"8","q5_a沒有","1.51(1.15-1.98)**","2.27(1.26-4.1)**",1.03,"1.22(0.93-1.6)",NA,NA,"1.4(1.07-1.83)*","1.96(1.04-3.69)*",1.02
"9","q68_a是","1.43(1.09-1.87)*","1.34(0.52-3.45)",1.12,"1.24(0.95-1.63)",NA,NA,"1.46(1.11-1.91)**","2.25(0.86-5.91)",1.06
"10","PHQ9_1yr_new6-10","1.54(1.16-2.06)**","1.28(0.82-1.99)",1.12,"1(0.75-1.33)",NA,NA,"1.43(1.07-1.9)*","1.19(0.74-1.91)",1.11
"11","PHQ9_1yr_new11-14","1.43(1.04-1.98)*","1.4(0.66-2.94)",1.13,"1(0.72-1.38)",NA,NA,"1.32(0.95-1.82)","1.24(0.55-2.82)",1.13
"12","PHQ9_1yr_new15以上","1.32(0.95-1.83)","0.95(0.4-2.27)",1.15,"1.08(0.78-1.5)",NA,NA,"1.07(0.77-1.48)","0.54(0.19-1.52)",1.17
"13","AUDIT_C_4_a>=4","1.76(1.34-2.31)***","2.48(1.08-5.69)*",1.09,"1.61(1.23-2.11)***","2.88(1.08-7.69)*",1.04,"1.85(1.41-2.43)***","3.31(1.38-7.96)**",1.1
"14","q22_0_a","0.58(0.43-0.78)***","0.97(0.92-1.03)",1.07,"0.57(0.32-1.01)",NA,NA,"0.65(0.47-0.9)**","0.98(0.92-1.04)",1.07
"15","firstrses_standardized","0.89(0.65-1.2)",NA,NA,"0.9(0.5-1.6)",NA,NA,"0.99(0.72-1.37)",NA,NA
"16","bis1_standardized","2.46(1.81-3.34)***","1.54(1.25-1.89)***",1.1,"3.1(1.73-5.54)***","1.74(1.22-2.49)**",1.07,"2.43(1.76-3.35)***","1.55(1.22-1.95)***",1.08
