"Var_level","Bullies.unadjusted OR(CI)","Bullies.adjusted OR(CI)","Frequent_bullies.unadjusted OR(CI)","Frequent_bullies.adjusted OR(CI)","Active_bullies.unadjusted OR(CI)","Active_bullies.adjusted OR(CI)"
"1","victim_3groupv1_1or2_times","4.18(3.12-5.61)***","5.92(3.97-8.83)***","1.57(1.19-2.06)**","3.43(1.6-7.37)**","3.37(2.53-4.49)***","5.12(3.33-7.88)***"
"2","victim_3groupv2_repeated_being_bullied","3.87(2.77-5.42)***","6.74(3.48-13.05)***","2.65(1.91-3.68)***","7.12(2.87-17.65)***","10.85(7.53-15.62)***","40.27(17.2-94.3)***"
"3","q3_a男","1.38(1.06-1.8)*","1.54(1.04-2.29)*","1.46(1.12-1.91)**","2.41(1.17-4.96)*","1.44(1.1-1.87)**","1.16(0.75-1.78)"
"4","school_PRPR<70","1.53(1.18-2)**","1.37(0.92-2.02)","1.26(0.97-1.64)",NA,"1.3(1-1.69)*","0.9(0.58-1.39)"
"5","q8_a否","1.2(0.92-1.55)",NA,"1.06(0.82-1.38)",NA,"1.06(0.81-1.37)",NA
"6","q7_a是","1.03(0.79-1.33)",NA,"1.08(0.83-1.41)",NA,"1.01(0.77-1.31)",NA
"7","q6_a沒有","1.21(0.93-1.57)",NA,"1.01(0.78-1.31)",NA,"1.2(0.92-1.56)",NA
"8","q5_a沒有","1.52(1.16-1.97)**","2.29(1.31-4)**","1.2(0.92-1.56)",NA,"1.36(1.04-1.77)*","1.86(1.01-3.42)*"
"9","q68_a是","1.38(1.06-1.79)*","1.17(0.48-2.85)","1.21(0.93-1.57)",NA,"1.43(1.1-1.86)**","1.92(0.73-5.04)"
"10","PHQ9_1yr_new6-10","1.56(1.18-2.07)**","1.3(0.85-2)","1(0.76-1.32)",NA,"1.45(1.09-1.92)**","1.26(0.79-1.99)"
"11","PHQ9_1yr_new11-14","1.4(1.02-1.92)*","1.34(0.65-2.79)","1(0.73-1.37)",NA,"1.31(0.95-1.79)","1.24(0.55-2.77)"
"12","PHQ9_1yr_new15以上","1.29(0.94-1.78)","0.89(0.39-2.05)","1.06(0.77-1.46)",NA,"1.09(0.79-1.49)","0.57(0.21-1.51)"
"13","AUDIT_C_4_a>=4","1.73(1.33-2.26)***","2.15(0.99-4.68)+","1.53(1.18-2)**","2.46(0.94-6.45)+","1.85(1.42-2.41)***","2.98(1.3-6.81)**"
"14","q22_0_a","0.6(0.44-0.8)***","0.98(0.93-1.03)","0.57(0.32-1.02)",NA,"0.65(0.48-0.89)**","0.98(0.92-1.04)"
"15","firstrses_standardized","0.89(0.67-1.2)",NA,"0.93(0.52-1.66)",NA,"0.98(0.72-1.34)",NA
"16","bis1_standardized","2.51(1.86-3.39)***","1.59(1.3-1.95)***","2.94(1.64-5.25)***","1.71(1.2-2.44)**","2.44(1.78-3.35)***","1.58(1.26-1.99)***"
