"Active_bullies.unadjusted OR(CI)","Active_bullies.adjusted OR(CI)","Active_bullies.VIF"
"1","3.37(2.53-4.49)***","4.33(2.71-6.94)***",1.26
"2","10.85(7.53-15.62)***","45.84(19.12-124.32)***",1.22
"3","2.75(2.08-3.63)***","2.37(1.43-3.92)***",1.18
"4","1.41(1.05-1.88)*","0.46(0.14-1.34)",1.16
"5","1.44(1.1-1.87)**","1.28(0.82-2.01)",1.15
"6","1.3(1-1.69)*","0.9(0.57-1.41)",1.18
"7","1.06(0.81-1.37)",NA,NA
"8","1.01(0.77-1.31)",NA,NA
"9","1.26(0.97-1.64)",NA,NA
"10","1.3(1-1.69)*","1.61(0.85-2.96)",1.03
"11","1.43(1.1-1.86)**","1.94(0.7-5.07)",1.2
"12","1.45(1.09-1.92)**","1.23(0.76-1.98)",1.14
"13","1.31(0.95-1.79)","1.25(0.53-2.83)",1.13
"14","1.09(0.79-1.49)","0.49(0.17-1.28)",1.21
"15","1.85(1.42-2.41)***","2.98(1.28-6.95)*",1.15
"16","0.65(0.48-0.89)**","0.98(0.92-1.04)",1.08
"17","0.98(0.72-1.34)",NA,NA
"18","2.44(1.78-3.35)***","1.68(1.33-2.13)***",1.13
