"Var_level","Bullies.unadjusted OR(CI)","Bullies.adjusted OR(CI)","Frequent_bullies.unadjusted OR(CI)","Frequent_bullies.adjusted OR(CI)","Active_bullies.unadjusted OR(CI)","Active_bullies.adjusted OR(CI)"
"1","victim_3groupv1_1or2_times","4.18(3.12-5.61)***","5.86(3.93-8.73)***","1.57(1.19-2.06)**","3.43(1.6-7.37)**","3.64(2.73-4.87)***","5.51(3.63-8.38)***"
"2","victim_3groupv2_repeated_being_bullied","3.87(2.77-5.42)***","6.64(3.44-12.84)***","2.65(1.91-3.68)***","7.12(2.87-17.65)***","3.81(2.72-5.33)***","6.89(3.53-13.42)***"
"3","q3_a男","1.38(1.06-1.8)*","1.54(1.04-2.29)*","1.46(1.12-1.91)**","2.41(1.17-4.96)*","1.44(1.1-1.87)**","1.55(1.03-2.34)*"
"4","school_PRPR<70","1.53(1.18-2)**","1.36(0.92-2.02)","1.26(0.97-1.64)",NA,"1.3(1-1.69)*","1.08(0.71-1.62)"
"5","q8_a否","1.2(0.92-1.55)",NA,"1.06(0.82-1.38)",NA,"1.06(0.81-1.37)",NA
"6","q7_a是","1.03(0.79-1.33)",NA,"1.08(0.83-1.41)",NA,"1.01(0.77-1.31)",NA
"7","q6_a沒有","1.19(0.92-1.55)",NA,"1.01(0.78-1.32)",NA,"1.22(0.94-1.59)",NA
"8","q5_a沒有","1.52(1.16-1.98)**","2.16(1.23-3.79)**","1.21(0.93-1.57)",NA,"1.43(1.1-1.86)**","2.03(1.14-3.62)*"
"9","q68_a是","1.38(1.06-1.79)*","1.14(0.47-2.77)","1.21(0.93-1.57)",NA,"1.43(1.1-1.86)**","1.41(0.57-3.48)"
"10","PHQ9_1yr_new6-10","1.56(1.18-2.07)**","1.32(0.86-2.03)","1(0.76-1.32)",NA,"1.45(1.09-1.92)**","1.21(0.78-1.88)"
"11","PHQ9_1yr_new11-14","1.4(1.02-1.92)*","1.37(0.66-2.85)","1(0.73-1.37)",NA,"1.31(0.95-1.79)","1.23(0.58-2.64)"
"12","PHQ9_1yr_new15以上","1.29(0.94-1.78)","0.88(0.38-2.02)","1.06(0.77-1.46)",NA,"1.09(0.79-1.49)","0.6(0.24-1.49)"
"13","AUDIT_C_4_a>=4","1.73(1.33-2.26)***","2.11(0.97-4.6)+","1.53(1.18-2)**","2.46(0.94-6.45)+","1.85(1.42-2.41)***","2.63(1.2-5.76)*"
"14","q22_0_a","0.6(0.44-0.8)***","0.98(0.93-1.03)","0.57(0.32-1.02)",NA,"0.65(0.48-0.89)**","0.99(0.93-1.04)"
"15","firstrses_standardized","0.89(0.67-1.2)",NA,"0.93(0.52-1.66)",NA,"0.98(0.72-1.34)",NA
"16","bis1_standardized","2.51(1.86-3.39)***","1.58(1.29-1.94)***","2.94(1.64-5.25)***","1.71(1.2-2.44)**","2.44(1.78-3.35)***","1.58(1.28-1.95)***"
