"class_var","Var","level","OR.CI","p_value","star","dep_var","or.ci.star"
"1","categorical","q3_a","男","1.38(1.03-1.85)",0.03174,"*","firstyrbully2","1.38(1.03-1.85)*"
"2","categorical","q5_a","沒有","1.48(1.09-1.99)",0.010651,"*","firstyrbully2","1.48(1.09-1.99)*"
"3","categorical","school_PR","PR<70","1.73(1.28-2.32)",0.000294,"***","firstyrbully2","1.73(1.28-2.32)***"
"4","categorical","q6_a","沒有","1.26(0.94-1.7)",0.121903,"ns","firstyrbully2","1.26(0.94-1.7)"
"5","categorical","q7_a","是","1(0.75-1.34)",1,"ns","firstyrbully2","1(0.75-1.34)"
"6","categorical","q8_a","否","1.16(0.87-1.56)",0.30607,"ns","firstyrbully2","1.16(0.87-1.56)"
"7","categorical","q22_a","有","1.14(0.85-1.52)",0.392162,"ns","firstyrbully2","1.14(0.85-1.52)"
"8","categorical","q68_a","是","1.49(1.11-2)",0.007675,"**","firstyrbully2","1.49(1.11-2)**"
"9","categorical","AUDIT_C_4_a",">=4","1.94(1.44-2.6)",1.3e-05,"***","firstyrbully2","1.94(1.44-2.6)***"
"10","categorical","PHQ9_1yr_new","6-10","1.88(1.37-2.58)",8.6e-05,"***","firstyrbully2","1.88(1.37-2.58)***"
"11","categorical","PHQ9_1yr_new","11-14","1.49(1.05-2.11)",0.024745,"*","firstyrbully2","1.49(1.05-2.11)*"
"12","categorical","PHQ9_1yr_new","15以上","1.44(1.01-2.05)",0.043876,"*","firstyrbully2","1.44(1.01-2.05)*"
"13","numeric","q10_a","","0.8(0.59-1.1)",0.167269,"ns","firstyrbully2","0.8(0.59-1.1)"
"14","numeric","q22_0_a","","0.56(0.41-0.77)",0.000268,"***","firstyrbully2","0.56(0.41-0.77)***"
"15","numeric","firstrses","","0.84(0.62-1.15)",0.282519,"ns","firstyrbully2","0.84(0.62-1.15)"
"16","numeric","bis1_total","","2.55(1.86-3.49)",0,"***","firstyrbully2","2.55(1.86-3.49)***"
"17","numeric","bis1_standardized","","2.55(1.86-3.49)",0,"***","firstyrbully2","2.55(1.86-3.49)***"
"18","categorical","q3_a","男","1.18(0.9-1.56)",0.230548,"ns","firstyrvic2","1.18(0.9-1.56)"
"19","categorical","q5_a","沒有","1.12(0.85-1.48)",0.435554,"ns","firstyrvic2","1.12(0.85-1.48)"
"20","categorical","school_PR","PR<70","1.51(1.15-1.99)",0.003398,"**","firstyrvic2","1.51(1.15-1.99)**"
"21","categorical","q6_a","沒有","1.32(1-1.75)",0.047599,"*","firstyrvic2","1.32(1-1.75)*"
"22","categorical","q7_a","是","1.09(0.83-1.43)",0.541363,"ns","firstyrvic2","1.09(0.83-1.43)"
"23","categorical","q8_a","否","1.05(0.8-1.38)",0.717035,"ns","firstyrvic2","1.05(0.8-1.38)"
"24","categorical","q22_a","有","1.06(0.81-1.4)",0.656785,"ns","firstyrvic2","1.06(0.81-1.4)"
"25","categorical","q68_a","是","1.28(0.97-1.68)",0.082374,"ns","firstyrvic2","1.28(0.97-1.68)"
"26","categorical","AUDIT_C_4_a",">=4","1.58(1.2-2.09)",0.00112,"**","firstyrvic2","1.58(1.2-2.09)**"
"27","categorical","PHQ9_1yr_new","6-10","1.86(1.39-2.5)",3.8e-05,"***","firstyrvic2","1.86(1.39-2.5)***"
"28","categorical","PHQ9_1yr_new","11-14","1.41(1.01-1.96)",0.04111,"*","firstyrvic2","1.41(1.01-1.96)*"
"29","categorical","PHQ9_1yr_new","15以上","1.39(0.99-1.94)",0.053925,"ns","firstyrvic2","1.39(0.99-1.94)"
"30","numeric","q10_a","","0.89(0.67-1.17)",0.390625,"ns","firstyrvic2","0.89(0.67-1.17)"
"31","numeric","q22_0_a","","0.61(0.46-0.81)",0.000649,"***","firstyrvic2","0.61(0.46-0.81)***"
"32","numeric","firstrses","","0.81(0.61-1.07)",0.144472,"ns","firstyrvic2","0.81(0.61-1.07)"
"33","numeric","bis1_total","","1.57(1.18-2.07)",0.001643,"**","firstyrvic2","1.57(1.18-2.07)**"
"34","numeric","bis1_standardized","","1.57(1.18-2.07)",0.001643,"**","firstyrvic2","1.57(1.18-2.07)**"
"35","categorical","q3_a","男","1.06(0.76-1.49)",0.712567,"ns","firstyrbully2","1.06(0.76-1.49)"
"36","categorical","q5_a","沒有","1.55(1.1-2.18)",0.012079,"*","firstyrbully2","1.55(1.1-2.18)*"
"37","categorical","school_PR","PR<70","1.68(1.2-2.35)",0.002534,"**","firstyrbully2","1.68(1.2-2.35)**"
"38","categorical","q6_a","沒有","1(0.71-1.4)",1,"ns","firstyrbully2","1(0.71-1.4)"
"39","categorical","q7_a","是","1.01(0.73-1.41)",0.933822,"ns","firstyrbully2","1.01(0.73-1.41)"
"40","categorical","q8_a","否","1.44(1.03-2.02)",0.031426,"*","firstyrbully2","1.44(1.03-2.02)*"
"41","categorical","q22_a","有","1.19(0.86-1.67)",0.295965,"ns","firstyrbully2","1.19(0.86-1.67)"
"42","categorical","q68_a","是","1.69(1.21-2.37)",0.00215,"**","firstyrbully2","1.69(1.21-2.37)**"
"43","categorical","AUDIT_C_4_a",">=4","1.93(1.37-2.7)",0.000148,"***","firstyrbully2","1.93(1.37-2.7)***"
"44","categorical","PHQ9_1yr_new","6-10","1.54(1.08-2.2)",0.016045,"*","firstyrbully2","1.54(1.08-2.2)*"
"45","categorical","PHQ9_1yr_new","11-14","1.1(0.75-1.62)",0.632975,"ns","firstyrbully2","1.1(0.75-1.62)"
"46","categorical","PHQ9_1yr_new","15以上","1.39(0.94-2.06)",0.09737,"ns","firstyrbully2","1.39(0.94-2.06)"
"47","numeric","q10_a","","0.69(0.42-1.12)",0.136464,"ns","firstyrbully2","0.69(0.42-1.12)"
"48","numeric","q22_0_a","","0.83(0.51-1.36)",0.458747,"ns","firstyrbully2","0.83(0.51-1.36)"
"49","numeric","firstrses","","0.84(0.52-1.37)",0.492994,"ns","firstyrbully2","0.84(0.52-1.37)"
"50","numeric","bis1_total","","4.01(2.44-6.59)",0,"***","firstyrbully2","4.01(2.44-6.59)***"
"51","numeric","bis1_standardized","","4.01(2.44-6.59)",0,"***","firstyrbully2","4.01(2.44-6.59)***"
"52","categorical","q3_a","男","1.06(0.78-1.44)",0.70497,"ns","firstyrvic2","1.06(0.78-1.44)"
"53","categorical","q5_a","沒有","1.05(0.77-1.44)",0.752807,"ns","firstyrvic2","1.05(0.77-1.44)"
"54","categorical","school_PR","PR<70","1.35(0.99-1.84)",0.055102,"ns","firstyrvic2","1.35(0.99-1.84)"
"55","categorical","q6_a","沒有","1.19(0.87-1.62)",0.279073,"ns","firstyrvic2","1.19(0.87-1.62)"
"56","categorical","q7_a","是","1.14(0.84-1.55)",0.404169,"ns","firstyrvic2","1.14(0.84-1.55)"
"57","categorical","q8_a","否","1.1(0.81-1.5)",0.545801,"ns","firstyrvic2","1.1(0.81-1.5)"
"58","categorical","q22_a","有","1.04(0.77-1.42)",0.797431,"ns","firstyrvic2","1.04(0.77-1.42)"
"59","categorical","q68_a","是","1.2(0.88-1.63)",0.25,"ns","firstyrvic2","1.2(0.88-1.63)"
"60","categorical","AUDIT_C_4_a",">=4","1.31(0.96-1.78)",0.087061,"ns","firstyrvic2","1.31(0.96-1.78)"
"61","categorical","PHQ9_1yr_new","6-10","1.68(1.21-2.33)",0.001874,"**","firstyrvic2","1.68(1.21-2.33)**"
"62","categorical","PHQ9_1yr_new","11-14","1.14(0.8-1.64)",0.468026,"ns","firstyrvic2","1.14(0.8-1.64)"
"63","categorical","PHQ9_1yr_new","15以上","1.33(0.93-1.92)",0.121995,"ns","firstyrvic2","1.33(0.93-1.92)"
"64","numeric","q10_a","","0.91(0.64-1.29)",0.596674,"ns","firstyrvic2","0.91(0.64-1.29)"
"65","numeric","q22_0_a","","0.79(0.56-1.12)",0.192101,"ns","firstyrvic2","0.79(0.56-1.12)"
"66","numeric","firstrses","","0.78(0.55-1.11)",0.17193,"ns","firstyrvic2","0.78(0.55-1.11)"
"67","numeric","bis1_total","","1.16(0.82-1.65)",0.405225,"ns","firstyrvic2","1.16(0.82-1.65)"
"68","numeric","bis1_standardized","","1.16(0.82-1.65)",0.405225,"ns","firstyrvic2","1.16(0.82-1.65)"
"69","categorical","q3_a","男","1.47(1.08-2)",0.015313,"*","firstyr_bv","1.47(1.08-2)*"
"70","categorical","q5_a","沒有","1.32(0.96-1.81)",0.085113,"ns","firstyr_bv","1.32(0.96-1.81)"
"71","categorical","school_PR","PR<70","1.53(1.12-2.09)",0.006953,"**","firstyr_bv","1.53(1.12-2.09)**"
"72","categorical","q6_a","沒有","1.36(1-1.86)",0.05124,"ns","firstyr_bv","1.36(1-1.86)"
"73","categorical","q7_a","是","1(0.74-1.36)",0.987778,"ns","firstyr_bv","1(0.74-1.36)"
"74","categorical","q8_a","否","1(0.73-1.36)",1,"ns","firstyr_bv","1(0.73-1.36)"
"75","categorical","q22_a","有","1.05(0.77-1.43)",0.745303,"ns","firstyr_bv","1.05(0.77-1.43)"
"76","categorical","q68_a","是","1.28(0.94-1.74)",0.116193,"ns","firstyr_bv","1.28(0.94-1.74)"
"77","categorical","AUDIT_C_4_a",">=4","1.8(1.32-2.46)",0.000221,"***","firstyr_bv","1.8(1.32-2.46)***"
"78","categorical","PHQ9_1yr_new","6-10","1.81(1.3-2.52)",0.000469,"***","firstyr_bv","1.81(1.3-2.52)***"
"79","categorical","PHQ9_1yr_new","11-14","1.56(1.08-2.25)",0.016721,"*","firstyr_bv","1.56(1.08-2.25)*"
"80","categorical","PHQ9_1yr_new","15以上","1.31(0.9-1.89)",0.156804,"ns","firstyr_bv","1.31(0.9-1.89)"
"81","numeric","q10_a","","0.86(0.6-1.22)",0.402912,"ns","firstyr_bv","0.86(0.6-1.22)"
"82","numeric","q22_0_a","","0.47(0.33-0.68)",4e-05,"***","firstyr_bv","0.47(0.33-0.68)***"
"83","numeric","firstrses","","0.84(0.59-1.2)",0.341915,"ns","firstyr_bv","0.84(0.59-1.2)"
"84","numeric","bis1_total","","2.1(1.47-3)",4.1e-05,"***","firstyr_bv","2.1(1.47-3)***"
"85","numeric","bis1_standardized","","2.1(1.47-3)",4.1e-05,"***","firstyr_bv","2.1(1.47-3)***"
"86","categorical","q3_a","男","1.5(1.12-2.01)",0.006803,"**","rec_bully_firstyr","1.5(1.12-2.01)**"
"87","categorical","q5_a","沒有","1.21(0.9-1.64)",0.202324,"ns","rec_bully_firstyr","1.21(0.9-1.64)"
"88","categorical","school_PR","PR<70","1.32(0.98-1.76)",0.065334,"ns","rec_bully_firstyr","1.32(0.98-1.76)"
"89","categorical","q6_a","沒有","1(0.74-1.34)",1,"ns","rec_bully_firstyr","1(0.74-1.34)"
"90","categorical","q7_a","是","1.08(0.8-1.44)",0.620185,"ns","rec_bully_firstyr","1.08(0.8-1.44)"
