"Var_level","b","firstyrbully2","firstyrvic2","firstyr_bv","pureb","purev","rec_bully_firstyr","rec_victim_firstyr"
"1","q3_a_男",1,"1.38(1.03-1.85)*","1.18(0.9-1.56)","1.47(1.08-2)*","1.06(0.76-1.49)","1.06(0.78-1.44)","1.5(1.12-2.01)**","1.79(1.35-2.36)***"
"2","school_PR_PR<70",2,"1.73(1.28-2.32)***","1.51(1.15-1.99)**","1.53(1.12-2.09)**","1.68(1.2-2.35)**","1.35(0.99-1.84)","1.32(0.98-1.76)","1.21(0.92-1.59)"
"3","q8_a_否",3,"1.16(0.87-1.56)","1.05(0.8-1.38)","1(0.73-1.36)","1.44(1.03-2.02)*","1.1(0.81-1.5)","1.09(0.81-1.46)","1(0.76-1.32)"
"4","q7_a_是",4,"1(0.75-1.34)","1.09(0.83-1.43)","1(0.74-1.36)","1.01(0.73-1.41)","1.14(0.84-1.55)","1.08(0.8-1.44)","1.3(0.98-1.71)"
"5","q6_a_沒有",5,"1.26(0.94-1.7)","1.32(1-1.75)*","1.36(1-1.86)","1(0.71-1.4)","1.19(0.87-1.62)","1(0.74-1.34)","1.11(0.84-1.47)"
"6","q5_a_沒有",6,"1.48(1.09-1.99)*","1.12(0.85-1.48)","1.32(0.96-1.81)","1.55(1.1-2.18)*","1.05(0.77-1.44)","1.21(0.9-1.64)","1(0.76-1.32)"
"7","q68_a_是",7,"1.49(1.11-2)**","1.28(0.97-1.68)","1.28(0.94-1.74)","1.69(1.21-2.37)**","1.2(0.88-1.63)","1.25(0.93-1.67)","1.18(0.89-1.55)"
"8","PHQ9_1yr_new_6-10",8,"1.88(1.37-2.58)***","1.86(1.39-2.5)***","1.81(1.3-2.52)***","1.54(1.08-2.2)*","1.68(1.21-2.33)**","1.01(0.74-1.38)","1.67(1.24-2.24)***"
"9","PHQ9_1yr_new_11-14",9,"1.49(1.05-2.11)*","1.41(1.01-1.96)*","1.56(1.08-2.25)*","1.1(0.75-1.62)","1.14(0.8-1.64)","1(0.71-1.41)","1.56(1.12-2.17)**"
"10","PHQ9_1yr_new_15以上",10,"1.44(1.01-2.05)*","1.39(0.99-1.94)","1.31(0.9-1.89)","1.39(0.94-2.06)","1.33(0.93-1.92)","1.1(0.77-1.56)","1.29(0.92-1.8)"
"11","AUDIT_C_4_a_>=4",11,"1.94(1.44-2.6)***","1.58(1.2-2.09)**","1.8(1.32-2.46)***","1.93(1.37-2.7)***","1.31(0.96-1.78)","1.63(1.21-2.19)**","1.11(0.84-1.46)"
"12","q22_0_a_",12,"0.56(0.41-0.77)***","0.61(0.46-0.81)***","0.47(0.33-0.68)***","0.83(0.51-1.36)","0.79(0.56-1.12)","0.56(0.31-1.01)","0.47(0.28-0.78)**"
"13","firstrses_",13,"0.84(0.62-1.15)","0.81(0.61-1.07)","0.84(0.59-1.2)","0.84(0.52-1.37)","0.78(0.55-1.11)","0.9(0.5-1.61)","0.48(0.29-0.8)**"
"14","bis1_total_",14,"2.55(1.86-3.49)***","1.57(1.18-2.07)**","2.1(1.47-3)***","4.01(2.44-6.59)***","1.16(0.82-1.65)","2.8(1.56-5.02)***","2.24(1.34-3.73)**"
